transaction_id,amount,hour,detectado_threshold_optimo,rank_importancia,variable,valor_shap
229712,1.18,16.0,1,1,V14,0.1379187447951314
229712,1.18,16.0,1,2,V10,0.09146892608962102
229712,1.18,16.0,1,3,V4,0.07476399865691379
229712,1.18,16.0,1,4,V12,0.06610537022067184
229712,1.18,16.0,1,5,V17,0.05916379674096451
229730,2.22,16.0,1,1,V10,-0.14444726022139145
229730,2.22,16.0,1,2,V14,0.12435501703645097
229730,2.22,16.0,1,3,V4,0.11700358560386202
229730,2.22,16.0,1,4,V12,-0.08864793971707982
229730,2.22,16.0,1,5,V16,-0.03403834036479684
230076,0.77,16.0,1,1,V14,0.157575518390663
230076,0.77,16.0,1,2,V10,0.11654666407001911
230076,0.77,16.0,1,3,V4,0.09736906564851613
230076,0.77,16.0,1,4,V12,0.0725630271359246
230076,0.77,16.0,1,5,V17,-0.06113664339748528
230476,94.82,16.0,1,1,V14,0.13684163514649236
230476,94.82,16.0,1,2,V10,0.09281952322251122
230476,94.82,16.0,1,3,V17,0.07686895801948888
230476,94.82,16.0,1,4,V12,0.07393360289632558
230476,94.82,16.0,1,5,V4,0.05362974858312645
231978,8.0,16.0,0,1,V11,-0.13068838483480408
231978,8.0,16.0,0,2,V12,-0.10620870233021834
231978,8.0,16.0,0,3,V14,0.07964384494909423
231978,8.0,16.0,0,4,V4,-0.06173321968982494
231978,8.0,16.0,0,5,V10,-0.05796520971997975
233258,996.27,16.0,1,1,V17,0.11220515923308551
233258,996.27,16.0,1,2,V10,-0.0968114810442191
233258,996.27,16.0,1,3,V4,0.07560670497096766
233258,996.27,16.0,1,4,V12,0.05325287942066907
233258,996.27,16.0,1,5,V7,-0.047615676545090385
234574,0.0,17.0,1,1,V14,0.14238627212348823
234574,0.0,17.0,1,2,V10,0.09886127840880027
234574,0.0,17.0,1,3,V4,0.0727102109989947
234574,0.0,17.0,1,4,V12,0.06763715818044538
234574,0.0,17.0,1,5,V17,0.05729457424200988
234632,1.59,17.0,1,1,V14,0.1699988294512601
234632,1.59,17.0,1,2,V10,0.12499034658374322
234632,1.59,17.0,1,3,V4,0.09443863833482345
234632,1.59,17.0,1,4,V12,0.0643352294821827
234632,1.59,17.0,1,5,V17,-0.05082191189008058
234633,1.59,17.0,1,1,V14,0.1699988294512601
234633,1.59,17.0,1,2,V10,0.12499034658374322
234633,1.59,17.0,1,3,V4,0.09443863833482345
234633,1.59,17.0,1,4,V12,0.0643352294821827
234633,1.59,17.0,1,5,V17,-0.05082191189008058
234705,0.0,17.0,1,1,V14,0.1431647999262075
234705,0.0,17.0,1,2,V10,0.10730461773320077
234705,0.0,17.0,1,3,V4,0.0758058275649133
234705,0.0,17.0,1,4,V16,-0.07438874298139417
234705,0.0,17.0,1,5,V17,-0.0660356671116527
235616,0.76,17.0,1,1,V14,0.11878659324595901
235616,0.76,17.0,1,2,V17,0.10513360637008862
235616,0.76,17.0,1,3,V10,-0.0880799748960227
235616,0.76,17.0,1,4,V12,0.07907905253371274
235616,0.76,17.0,1,5,V4,0.06505620418623817
235634,0.76,17.0,1,1,V14,0.1302312103290908
235634,0.76,17.0,1,2,V10,0.08786587613940622
235634,0.76,17.0,1,3,V17,0.07709832904422129
235634,0.76,17.0,1,4,V12,0.07256771435474069
235634,0.76,17.0,1,5,V4,0.05426841724935247
235644,122.68,17.0,1,1,V14,0.1373183238507238
235644,122.68,17.0,1,2,V10,0.09092530001523
235644,122.68,17.0,1,3,V17,0.08544042067201327
235644,122.68,17.0,1,4,V12,0.07317051328056558
235644,122.68,17.0,1,5,V4,0.05078119705042491
237107,0.0,17.0,1,1,V14,0.1599749749937583
237107,0.0,17.0,1,2,V10,0.12492643839785161
237107,0.0,17.0,1,3,V4,0.09231841520537251
237107,0.0,17.0,1,4,V12,0.06439336214465037
237107,0.0,17.0,1,5,V17,-0.05647254133855642
237426,1.0,17.0,1,1,V14,0.17162130112461305
237426,1.0,17.0,1,2,V10,0.12401054622407874
237426,1.0,17.0,1,3,V4,0.10277795253271692
237426,1.0,17.0,1,4,V12,-0.09346688587009944
237426,1.0,17.0,1,5,V11,0.0364265838616263
238222,1.1,17.0,1,1,V14,0.13011907968572098
238222,1.1,17.0,1,2,V17,0.07967188657904084
238222,1.1,17.0,1,3,V10,0.07610265608698069
238222,1.1,17.0,1,4,V12,0.06867293886314906
238222,1.1,17.0,1,5,V4,0.05298722551606643
238366,2.0,17.0,1,1,V14,0.15594993632670362
238366,2.0,17.0,1,2,V10,0.11766328414582831
238366,2.0,17.0,1,3,V4,0.079367642824285
238366,2.0,17.0,1,4,V17,-0.0549746197349655
238366,2.0,17.0,1,5,V12,0.052071871539406976
238466,17.39,17.0,1,1,V4,0.11469489418711365
238466,17.39,17.0,1,2,V12,-0.11008885479558092
238466,17.39,17.0,1,3,V14,0.1037034516446558
238466,17.39,17.0,1,4,V10,-0.08829231363066876
238466,17.39,17.0,1,5,V16,-0.03619285746459724
239499,50.0,17.0,1,1,V14,0.1510730205118063
239499,50.0,17.0,1,2,V17,0.11069392135394093
239499,50.0,17.0,1,3,V10,0.10196213865601389
239499,50.0,17.0,1,4,V4,-0.06276196262219912
239499,50.0,17.0,1,5,V12,0.04964695996577542
239501,237.26,17.0,1,1,V11,-0.19729428107296593
239501,237.26,17.0,1,2,V17,0.090938703048737
239501,237.26,17.0,1,3,V14,-0.0838754912864991
239501,237.26,17.0,1,4,V10,0.07031969107748319
239501,237.26,17.0,1,5,V12,0.039943214353639886
240222,1.0,17.0,1,1,V11,-0.20229074394360574
240222,1.0,17.0,1,2,V4,0.10435733706089476
240222,1.0,17.0,1,3,V14,0.09602179310009681
240222,1.0,17.0,1,4,V10,-0.0646431196275602
240222,1.0,17.0,1,5,V12,-0.04212087068894712
241254,9.29,17.0,1,1,V14,0.15047468698794988
241254,9.29,17.0,1,2,V12,-0.13074137157893667
241254,9.29,17.0,1,3,V10,0.1255786682149239
241254,9.29,17.0,1,4,V4,0.0776715360651088
241254,9.29,17.0,1,5,V17,-0.06418126947518057
241445,10.7,17.0,1,1,V14,0.1554181644937068
241445,10.7,17.0,1,2,V17,0.10272081644334391
241445,10.7,17.0,1,3,V10,0.09423112404205336
241445,10.7,17.0,1,4,V12,0.07530180639341263
241445,10.7,17.0,1,5,V11,0.0409840137834961
243393,0.01,18.0,1,1,V14,0.13036100999859504
243393,0.01,18.0,1,2,V17,0.08409286796257398
243393,0.01,18.0,1,3,V10,0.08082852077671475
243393,0.01,18.0,1,4,V12,0.06843174408758772
243393,0.01,18.0,1,5,V4,0.045872506280235155
